Tree_representative	GenomeID	ContigID	ProteinID	gene_type	gene	start	end	strand	HMM_Annot_IDs	product_description	PlotLabel	fill	Cluster
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141963343.1	CDS	NA	4691812	4692157	+	PF13586;COG3293;PF13612;COG3293	Transposase;Transposase DDE domain	PF01609;PF13340	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141963343.1	CDS	NA	4692157	4692656	+	PF13586;COG3293;PF13612;COG3293	Transposase;Transposase DDE domain	PF01609;PF13340	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_112204405.1	CDS	NA	4693235	4693567	+	PF07978;COG1359;TIGR03792	NIPSNAP	PF07978;COG1359;TIGR03792	plasmid	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141965441.1	CDS	NA	4693795	4694232	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_045281728.1	CDS	NA	4694607	4695323	+	PF01844	HNH endonuclease	PF01844	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141964153.1	CDS	tnpA	4695482	4696156	+	PF01527	IS66-like element accessory protein TnpA	tnpA	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141964154.1	CDS	tnpB	4696153	4696500	+	PF05717	IS66 family insertion sequence element accessory protein TnpB	tnpB	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141964155.1	CDS	tnpC	4696520	4698076	+	PF03050;PF13005;PF13007;PF13817	IS66 family transposase	tnpC	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_142255933.1	CDS	NA	4698275	4700224	-	PF00589;PF20172	site-specific integrase	PF00589;PF20172	integrase	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	Electrica_RS22465	tRNA	NA	4700314	4700398	-	NA	tRNA-Leu	tRNA	tRNA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_131050796.1	CDS	NA	4700677	4701696	+	PF00107;PF08240	NAD(P)-dependent alcohol dehydrogenase	PF00107;PF08240	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_131050795.1	CDS	NA	4701853	4702725	+	PF00528	carbohydrate ABC transporter permease	PF00528	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_100684833.1	CDS	NA	4702715	4703602	+	PF00528	carbohydrate ABC transporter permease	PF00528	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141965442.1	CDS	NA	4703613	4704437	+	PF00149	phosphodiesterase	PF00149	NA	2
WP_141965436.1	GCF_006711645.1	NZ_CP041247.1	WP_141965443.1	CDS	NA	4704443	4705516	+	PF17912;PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain;MalK OB fold domain; TOBE domain	PF00005;PF08402	NA	2
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_221886129.1	CDS	NA	1	191	+	NA	hypothetical protein	hypothetical protein	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_111674264.1	CDS	NA	179	643	+	NA	hypothetical protein	hypothetical protein	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570034.1	CDS	NA	1086	2486	+	PF00128	alpha-amylase family protein	PF00128	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_053034743.1	CDS	NA	2658	3191	+	PF01292;K12262;COG3038;TIGR01583;PF01292;K12262;COG3038;TIGR02125;PF01292;K12262;TIGR02125;COG1969	Cytochrome b561;Prokaryotic cytochrome b561	PF01292	plasmid	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000049013.1	CDS	ulaG	3291	4358	-	PF13483;K03476;COG1235;TIGR03307;PF13483;K03476;COG2220;TIGR03307	L-ascorbate metabolism protein UlaG, beta-lactamase superfamily;Phosphoribosyl 1,2-cyclic phosphodiesterase	ulaG	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_001006791.1	CDS	ulaR	4484	5239	-	PF00455;PF08220	HTH-type transcriptional regulator UlaR	ulaR	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000395341.1	CDS	NA	5605	7365	+	PF02302;PF03611	PTS ascorbate-specific subunit IIBC	PF02302;PF03611	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570036.1	CDS	NA	7463	7969	+	PF00359	PTS sugar transporter subunit IIA	PF00359	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000286765.1	CDS	NA	7978	8670	+	PF00596	L-ribulose-5-phosphate 4-epimerase	PF00596	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570038.1	CDS	NA	8676	9497	+	PF08282	Cof-type HAD-IIB family hydrolase	PF08282	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_088128616.1	CDS	NA	9503	10150	+	PF00215;K03078;COG0269;TIGR03128	3-keto-L-gulonate-6-phosphate decarboxylase	PF00215	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570040.1	CDS	NA	10162	11046	+	PF01261;K03079;COG3623;TIGR00542	L-ribulose-5-phosphate 3-epimerase UlaE	PF01261	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000770693.1	CDS	NA	11202	11633	+	NA	hypothetical protein	hypothetical protein	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_001221471.1	CDS	NA	11636	12310	-	PF00072;PF00486	response regulator transcription factor	PF00072;PF00486	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_185834539.1	CDS	NA	12291	13901	-	PF00512;PF00672;PF02518	HAMP domain-containing sensor histidine kinase	PF00512;PF00672;PF02518	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_001189466.1	CDS	NA	14185	14754	+	NA	phosphoribosyl-AMP cyclohydrolase	phosphoribosyl-AMP cyclohydrolase	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_001904590.1	CDS	NA	14980	15843	-	PF00126;PF03466	LysR family transcriptional regulator	PF00126;PF03466	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_001960893.1	CDS	NA	16046	16420	+	PF12680	nuclear transport factor 2 family protein	PF12680	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	FLL94_RS12870	CDS	NA	16520	16763	+	NA	transposase domain-containing protein	transposase domain-containing protein	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570044.1	CDS	NA	16915	23112	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570046.1	CDS	NA	23126	26482	-	NA	DruH3	DruH3	druantia_type_III	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570048.1	CDS	NA	26762	28105	-	PF10117;COG4268;K19147	RM_Type_IV__Type_IV_01	RM_Type_IV__Type_IV_01	RM_Type_IV	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_260603022.1	CDS	NA	28112	30070	-	PF07728	RM_Type_IV__FAM_1	RM_Type_IV__FAM_1	RM_Type_IV	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570050.1	CDS	NA	30115	31530	-	PF01420	Specificity_I	Specificity_I	RM_type_I	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570052.1	CDS	NA	31527	33176	-	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570054.1	CDS	hsdR	33285	36824	-	PF00271;PF04313;PF04851;PF08463;PF13643	REase_I	REase_I	RM_type_I	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570056.1	CDS	csm6	36862	37989	-	PF09623;TIGR02584;K19135;COG4006	CRISPR-associated protein NE0113 (Cas_NE0113)	csm6	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570065.1	CDS	tnpA	38050	38418	-	PF01797	IS200/IS605 family transposase	tnpA	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000072098.1	CDS	NA	38640	39833	-	PF00871	acetate/propionate family kinase	PF00871	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570058.1	CDS	NA	40103	40423	-	PF09981;K09956;COG3553	DUF2218 domain-containing protein	PF09981	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_142570059.1	CDS	vctA	40481	42460	-	K16087;COG4773;PF11854;PF07715;K16087;TIGR01776;COG4206;PF14905;PF07715;K16087;TIGR01776;COG4206;PF14905;PF07715;K16087;TIGR01776;COG4772;PF14905;PF07715;K16087;TIGR01776;COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid;TonB-dependent lactoferrin and transferrin receptors	vctA	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_032467875.1	CDS	NA	42547	43563	+	PF12833	helix-turn-helix domain-containing protein	PF12833	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000615306.1	CDS	vctC	43610	44374	-	PF00005	iron chelate ABC transporter ATP-binding protein VctC	vctC	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_001154097.1	CDS	vctG	44377	45327	-	PF01032	iron chelate uptake ABC transporter permease subunit VctG	vctG	NA	10
WP_142570044.1	GCF_006802275.1	NZ_VIOT01000049.1	WP_000735136.1	CDS	vctD	45317	46255	-	PF01032	iron chelate uptake ABC transporter permease subunit VctD	vctD	NA	10
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810237.1	CDS	NA	36564	37328	-	PF13561	SDR family NAD(P)-dependent oxidoreductase	PF13561	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810239.1	CDS	NA	37388	38983	-	PF00501;PF13193	class I adenylate-forming enzyme family protein	PF00501;PF13193	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810241.1	CDS	NA	39033	40184	-	PF00441;PF02770;PF02771	acyl-CoA dehydrogenase family protein	PF00441;PF02770;PF02771	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810243.1	CDS	NA	40204	41028	-	PF13561	SDR family NAD(P)-dependent oxidoreductase	PF13561	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810244.1	CDS	NA	41060	41488	-	PF01575;COG2030;K19659;TIGR02286;PF19315;COG2030;PF19315;COG2030;K18290;PF19315;COG2030;K18290;TIGR01750	Acyl dehydratase	PF01575	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810246.1	CDS	NA	41485	41946	-	PF13452;COG3777;K09709;PF13452;COG3777;K19658	Hydroxyacyl-ACP dehydratase HTD2, hotdog domain;N-terminal half of MaoC dehydratase	PF13452	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810248.1	CDS	NA	41959	43140	-	PF00108;PF22691	lipid-transfer protein	PF00108;PF22691	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810250.1	CDS	NA	43300	44223	+	PF02423	delta(1)-pyrroline-2-carboxylate reductase family protein	PF02423	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810252.1	CDS	NA	44279	45337	-	PF00005;PF12857	sulfate/molybdate ABC transporter ATP-binding protein	PF00005;PF12857	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810254.1	CDS	cysW	45334	46230	-	PF00528	sulfate ABC transporter permease subunit CysW	cysW	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810255.1	CDS	cysT	46232	47065	-	PF00528	sulfate ABC transporter permease subunit CysT	cysT	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810258.1	CDS	NA	47062	48063	-	PF13531;K02048;TIGR00971;COG1613	sulfate/thiosulfate-binding protein	PF13531	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810260.1	CDS	NA	48245	48874	-	PF18539	DUF5625 family protein	PF18539	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_385915996.1	CDS	NA	49304	49555	+	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	EPD80_RS05995	CDS	NA	49731	50201	+	NA	IS5 family transposase	IS5 family transposase	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810262.1	CDS	NA	50350	50661	-	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810264.1	CDS	qac	50738	51070	-	PF00893	quaternary ammonium compound efflux SMR transporter QacL	qac	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810266.1	CDS	NA	51646	52245	-	PF09407;PF13338	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein	PF09407;PF13338	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_206673397.1	CDS	NA	52401	52550	+	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810268.1	CDS	NA	52554	52874	+	NA	DNA-binding protein	DNA-binding protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810270.1	CDS	NA	53012	53449	-	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810272.1	CDS	NA	53533	54015	-	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810274.1	CDS	NA	54093	54404	-	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	EPD80_RS06040	CDS	NA	54514	55101	-	NA	N-6 DNA methylase	N-6 DNA methylase	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	EPD80_RS06045	CDS	NA	55276	56000	-	NA	transposase	transposase	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810275.1	CDS	NA	56133	59507	+	NA	DruH3	DruH3	druantia_type_III	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810277.1	CDS	NA	59517	65750	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810278.1	CDS	NA	65984	66982	-	PF13531;K02048;TIGR00971;COG1613	sulfate/thiosulfate-binding protein	PF13531	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_185957731.1	CDS	NA	67793	69511	+	PF00999;PF02254	cation:proton antiporter	PF00999;PF02254	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142804194.1	CDS	NA	69444	69929	-	NA	hypothetical protein	hypothetical protein	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_185957725.1	CDS	nfi	70143	70838	-	PF04493	deoxyribonuclease V	nfi	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_221928879.1	CDS	NA	70838	71770	-	PF00892	DMT family transporter	PF00892	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810282.1	CDS	NA	71783	72874	-	PF04230	polysaccharide pyruvyl transferase family protein	PF04230	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810283.1	CDS	NA	72871	75135	-	PF00122;PF00403;PF00702	cation-translocating P-type ATPase	PF00122;PF00403;PF00702	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142804189.1	CDS	NA	75116	75319	-	PF00403	heavy-metal-associated domain-containing protein	PF00403	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_221928880.1	CDS	NA	75338	78775	-	PF00176;PF00271;PF04434	DEAD/DEAH box helicase	PF00176;PF00271;PF04434	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142804188.1	CDS	NA	78859	79593	+	PF01709;PF20772	YebC/PmpR family DNA-binding transcriptional regulator	PF01709;PF20772	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810285.1	CDS	ruvC	79590	80132	+	PF02075	crossover junction endodeoxyribonuclease RuvC	ruvC	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810287.1	CDS	NA	80129	81895	+	PF02690	Na/Pi cotransporter family protein	PF02690	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810289.1	CDS	rapZ	81909	82760	-	PF03668;PF22740	RNase adapter RapZ	rapZ	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810291.1	CDS	NA	82834	83163	-	PF18765	nucleotidyltransferase family protein	PF18765	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810294.1	CDS	NA	83148	83546	-	PF08780	HI0074 family nucleotidyltransferase substrate-binding subunit	PF08780	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_221928881.1	CDS	NA	83613	84629	-	PF00753;K16639;COG2015;TIGR04559	Alkyl sulfatase BDS1 and related hydrolases, metallo-beta-lactamase superfamily	PF00753	NA	9
WP_142810277.1	GCF_006980705.1	NZ_SBHO01000004.1	WP_142810296.1	CDS	NA	84647	84892	-	PF06945	DUF1289 domain-containing protein	PF06945	NA	9
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563849.1	CDS	NA	101097	104090	-	PF00580;PF13361	UvrD-helicase domain-containing protein	PF00580;PF13361	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563850.1	CDS	NA	104355	105689	+	COG0701	Uncharacterized membrane protein YraQ, UPF0718 family	PF03773	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563851.1	CDS	NA	106201	107091	-	PF00126;PF03466	LysR family transcriptional regulator	PF00126;PF03466	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563852.1	CDS	NA	107227	108483	+	PF00709	adenylosuccinate synthetase	PF00709	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563853.1	CDS	NA	108542	111646	-	PF12969;PF12969;PF01841;PF12970	Transglutaminase-like superfamily	PF01841;PF12969	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563854.1	CDS	NA	112079	113146	-	PF03929;COG3182	PepSY-associated TM region	PF03929	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563855.1	CDS	NA	113403	114719	+	PF02275	linear amide C-N hydrolase	PF02275	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563856.1	CDS	NA	115691	117241	+	PF00082;PF04151;PF05922	S8 family peptidase	PF00082;PF04151;PF05922	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_221936106.1	CDS	NA	117600	117965	+	PF01381	helix-turn-helix transcriptional regulator	PF01381	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563857.1	CDS	NA	117959	119260	+	PF07804;PF13657	type II toxin-antitoxin system HipA family toxin	PF07804;PF13657	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563858.1	CDS	NA	119904	120476	+	NA	hypothetical protein	hypothetical protein	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563859.1	CDS	NA	120555	127007	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563860.1	CDS	NA	127007	130540	-	NA	DruH3	DruH3	druantia_type_III	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563861.1	CDS	NA	131462	132607	-	PF01844	HNH endonuclease signature motif containing protein	PF01844	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563862.1	CDS	NA	132669	133322	-	PF13649	class I SAM-dependent methyltransferase	PF13649	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563863.1	CDS	NA	134138	134818	-	PF08887;PF08906	GAD-like domain-containing protein	PF08887;PF08906	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563864.1	CDS	NA	134824	135393	-	PF07791	DUF1629 domain-containing protein	PF07791	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563865.1	CDS	NA	135406	137487	-	PF14412	AHH domain-containing protein	PF14412	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563866.1	CDS	NA	137982	139112	+	PF03435	saccharopine dehydrogenase NADP-binding domain-containing protein	PF03435	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563867.1	CDS	NA	139150	139623	+	PF10027;COG5528;TIGR00701;PF10027;COG5528;TIGR00701;K08973	Predicted integral membrane protein (DUF2269)	PF10027	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563927.1	CDS	NA	139644	140045	+	PF13781	DoxX-like family	PF13781	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563868.1	CDS	NA	140086	140580	-	PF03965;K22489;TIGR04472;COG5631	mobile rSAM pair MarR family regulator	PF12802	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563869.1	CDS	hmgA	140895	142187	+	PF04209;PF20510	homogentisate 1%2C2-dioxygenase	hmgA	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563870.1	CDS	NA	142687	142971	+	PF01541	GIY-YIG nuclease family protein	PF01541	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563871.1	CDS	NA	143680	144420	+	K00351;COG3182;K00351;COG3212;K00351;COG5353;PF16357;COG3182;K09939	Putative PepSY_TM-like;Uncharacterized membrane protein YkoI;Uncharacterized protein YpmB, contains C-terminal PepSY domain	K00351;COG3182;K00351;COG3212;K00351;COG5353;PF16357;COG3182;K09939	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563872.1	CDS	NA	144420	146360	+	K00351;COG3182;K00351;COG3212;K00351;COG5353;PF16357;COG3182;K09939	Putative PepSY_TM-like;Uncharacterized membrane protein YkoI;Uncharacterized protein YpmB, contains C-terminal PepSY domain	PF00111;PF00175	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_308426201.1	CDS	NA	146885	147928	-	PF13609	porin	PF13609	NA	12
WP_143563859.1	GCF_007197645.1	NZ_VKGK01000006.1	WP_143563874.1	CDS	NA	147963	149309	-	K20379;COG4939;PF04205;COG4939;K17363	Major membrane immunogen, membrane-anchored lipoprotein	PF04205	NA	12
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_205125514.1	CDS	NA	91128	92798	+	PF00884	sulfatase	PF00884	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076032.1	CDS	NA	92956	94815	+	PF12450	von Willebrand factor	PF00092;PF12034;PF12450;PF13715	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076031.1	CDS	NA	95419	96003	+	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076030.1	CDS	NA	96016	96579	+	PF12099;COG3047	Outer membrane protein W	PF12099;COG3047	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_158631185.1	CDS	NA	97233	100052	+	PF18962	T9SS type A sorting domain-containing protein	PF18962	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_158631184.1	CDS	NA	100972	102210	+	PF05147	lanthionine synthetase LanC family protein	PF05147	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076027.1	CDS	NA	102374	102757	+	PF00296	LLM class flavin-dependent oxidoreductase	PF00296	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076026.1	CDS	NA	102914	103123	+	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076025.1	CDS	NA	103245	103805	+	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076024.1	CDS	NA	104643	105809	-	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076023.1	CDS	NA	106044	106358	+	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076022.1	CDS	NA	106360	107805	+	NA	YaaW family protein	YaaW family protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076021.1	CDS	NA	108845	112075	+	NA	DruH3	DruH3	druantia_type_III	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076020.1	CDS	NA	112087	118380	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076019.1	CDS	NA	118490	119542	+	PF13280	WYL	WYL	WYL	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076018.1	CDS	NA	119767	121260	+	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076017.1	CDS	NA	121260	122450	+	PF01420	Specificity_I	Specificity_I	RM_type_I	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076016.1	CDS	NA	122575	125409	+	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076015.1	CDS	NA	125487	129119	-	PF00271;PF04851;PF08463	REase_I	REase_I	RM_type_I	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076014.1	CDS	NA	129453	129794	+	NA	hypothetical protein	hypothetical protein	NA	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076013.1	CDS	NA	129884	130570	+	NA	JukA	JukA	Juk	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076012.1	CDS	NA	130574	131467	+	NA	JukB	JukB	Juk	8
WP_144076020.1	GCF_014207545.1	NZ_JACHGS010000011.1	WP_144076011.1	CDS	NA	133523	133735	+	NA	hypothetical protein	hypothetical protein	NA	8
